objectID;post_title;url;Nom simple;Nom
cocktail_5609;Sirop et Compote (2 en 1) Rhubarbe & Fraise;https://1ou2cocktails.com/cocktails/sirop-et-compote-2-en-1-rhubarbe-fraise/;sucre;sucre
cocktail_5609;Sirop et Compote (2 en 1) Rhubarbe & Fraise;https://1ou2cocktails.com/cocktails/sirop-et-compote-2-en-1-rhubarbe-fraise/;eau;eau
cocktail_5609;Sirop et Compote (2 en 1) Rhubarbe & Fraise;https://1ou2cocktails.com/cocktails/sirop-et-compote-2-en-1-rhubarbe-fraise/;botte rhubarbe tiges en tronçons;botte rhubarbe tiges en tronçons
cocktail_5609;Sirop et Compote (2 en 1) Rhubarbe & Fraise;https://1ou2cocktails.com/cocktails/sirop-et-compote-2-en-1-rhubarbe-fraise/;fraises;fraises du et coupées en
cocktail_5600;Ginto Pamplemousse & Concombre;https://1ou2cocktails.com/cocktails/ginto-pamplemousse-concombre/;gin;gin
cocktail_5600;Ginto Pamplemousse & Concombre;https://1ou2cocktails.com/cocktails/ginto-pamplemousse-concombre/;jus;jus pamplemousse frais
cocktail_5600;Ginto Pamplemousse & Concombre;https://1ou2cocktails.com/cocktails/ginto-pamplemousse-concombre/;sirop;sirop
cocktail_5600;Ginto Pamplemousse & Concombre;https://1ou2cocktails.com/cocktails/ginto-pamplemousse-concombre/;soda;soda tonique au concombre sodas
cocktail_5600;Ginto Pamplemousse & Concombre;https://1ou2cocktails.com/cocktails/ginto-pamplemousse-concombre/;concombre;concombre
cocktail_5593;Daiquiri Cerise Épicé;https://1ou2cocktails.com/cocktails/daiquiri-cerise-epice/;rhum;rhum épicé
cocktail_5593;Daiquiri Cerise Épicé;https://1ou2cocktails.com/cocktails/daiquiri-cerise-epice/;jus;jus lime frais
cocktail_5593;Daiquiri Cerise Épicé;https://1ou2cocktails.com/cocktails/daiquiri-cerise-epice/;jus;jus pamplemousse frais
cocktail_5593;Daiquiri Cerise Épicé;https://1ou2cocktails.com/cocktails/daiquiri-cerise-epice/;sirop;sirop sucre canne
cocktail_5593;Daiquiri Cerise Épicé;https://1ou2cocktails.com/cocktails/daiquiri-cerise-epice/;cerise dénoyautée et coupée;cerise dénoyautée et coupée
cocktail_5593;Daiquiri Cerise Épicé;https://1ou2cocktails.com/cocktails/daiquiri-cerise-epice/;pincée;sel épicé la pincée pour le givre
cocktail_5584;Sgroppino (Sorbet Citron & Prosecco);https://1ou2cocktails.com/cocktails/sgroppino-sorbet-citron-prosecco/;citron;sorbet au citron
cocktail_5584;Sgroppino (Sorbet Citron & Prosecco);https://1ou2cocktails.com/cocktails/sgroppino-sorbet-citron-prosecco/;vin;vin mousseux
cocktail_5584;Sgroppino (Sorbet Citron & Prosecco);https://1ou2cocktails.com/cocktails/sgroppino-sorbet-citron-prosecco/;vodka;vodka
cocktail_5584;Sgroppino (Sorbet Citron & Prosecco);https://1ou2cocktails.com/cocktails/sgroppino-sorbet-citron-prosecco/;feuille;petite feuille menthe ou basilic
cocktail_5553;Mezcal Margarita;https://1ou2cocktails.com/cocktails/mezcal-margarita/;liqueur;liqueur
cocktail_5553;Mezcal Margarita;https://1ou2cocktails.com/cocktails/mezcal-margarita/;jus;jus lime frais
cocktail_5553;Mezcal Margarita;https://1ou2cocktails.com/cocktails/mezcal-margarita/;sirop;sirop
cocktail_5553;Mezcal Margarita;https://1ou2cocktails.com/cocktails/mezcal-margarita/;sel;sel pour givrer
cocktail_5553;Mezcal Margarita;https://1ou2cocktails.com/cocktails/mezcal-margarita/;lime;lime
cocktail_5548;Vesper Martini;https://1ou2cocktails.com/cocktails/vesper-martini/;gin;gin
cocktail_5548;Vesper Martini;https://1ou2cocktails.com/cocktails/vesper-martini/;vodka;vodka
cocktail_5548;Vesper Martini;https://1ou2cocktails.com/cocktails/vesper-martini/;apéritif;apéritif base vin
cocktail_5548;Vesper Martini;https://1ou2cocktails.com/cocktails/vesper-martini/;amer;amer
cocktail_5548;Vesper Martini;https://1ou2cocktails.com/cocktails/vesper-martini/;citron;citron
cocktail_5531;Mojito Royal;https://1ou2cocktails.com/cocktails/mojito-royal/;gin;gin au concombre
cocktail_5531;Mojito Royal;https://1ou2cocktails.com/cocktails/mojito-royal/;concombre;concombre
cocktail_5531;Mojito Royal;https://1ou2cocktails.com/cocktails/mojito-royal/;art;ou quartiers lime
